"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@_abeks My best placement <U+0001F483><U+0001F3FC><U+0001F483><U+0001F3FC>",FALSE,0,"_abeks",2023-04-28 10:00:33,FALSE,"1651876704401457152","1651889127657283586","391711107","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ola_loran",0,FALSE,FALSE,NA,NA
"2","@Emekanaya23 You caught your sub ?",FALSE,0,"Emekanaya23",2023-04-28 10:00:24,FALSE,"1651888789969616901","1651889090265075717","1628435299217858562","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hybrid_Ola",0,FALSE,FALSE,NA,NA
"3","RT @Literary_ETH: #Pepecoin token redistribution is live now!

Check eligibility and claim $PEPE on the site:
<U+0001F517>https://t.co/DdkXTgeVAD

#Et…",FALSE,0,NA,2023-04-28 10:00:23,FALSE,NA,"1651889084820848646",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ola_ajah5",302,TRUE,FALSE,NA,NA
"4","@Ola_Aguero @instablog9ja Check ur dm",FALSE,0,"Ola_Aguero",2023-04-28 10:00:22,FALSE,"1651887679938654209","1651889080605499393","1024038353077972992","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Readwan94",0,FALSE,FALSE,NA,NA
"5","@FaruqBashar Baba there’s local loud and there are so many quite expensive strains. Not everyone do the local loud",FALSE,0,"FaruqBashar",2023-04-28 10:00:06,FALSE,"1651825795692736512","1651889016948531207","335393142","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ola_Neverlack",0,FALSE,FALSE,NA,NA
"6","@Ola_Aguero @instablog9ja Okay <U+0001F44D>",FALSE,0,"Ola_Aguero",2023-04-28 09:59:50,FALSE,"1651884934494035968","1651888946429718532","1024038353077972992","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MiracleAyomid11",0,FALSE,FALSE,NA,NA
"7","@Ola_mara_mma I was referring to ""May"" the first wife not Hope",FALSE,0,"Ola_mara_mma",2023-04-28 09:59:39,FALSE,"1651883649707458561","1651888902263767041","1417524910201602049","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2Light1Star",0,FALSE,FALSE,NA,NA
"8","@Hybrid_Ola <U+0001F923><U+0001F923><U+0001F602><U+0001F602><U+0001F923><U+0001F923>talk yo shit",FALSE,0,"Hybrid_Ola",2023-04-28 09:59:12,FALSE,"1651885339554791425","1651888789969616901","1568871671074889728","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Emekanaya23",0,FALSE,FALSE,NA,NA
"9","@ackoindia @ackosupport,
I have applied for claim of my ola s1 for rat bite since yesterday, but its still pending… https://t.co/lx4fGVTify",FALSE,0,"ACKOIndia",2023-04-28 09:59:07,TRUE,NA,"1651888766716370945","819469954172993536","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DeepakVish8",0,FALSE,FALSE,NA,NA
"10","By when will hypercharge be arranged in Bihar Aurangabad , Daudnagar?
Pin 824143
@bhash @OlaElectric @ola_supports",FALSE,0,NA,2023-04-28 09:59:06,FALSE,NA,"1651888764174868480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pintush7",0,FALSE,FALSE,NA,NA
